iso2c,country,year,status,lastupdated,gdp,gdp_pcap,population,exchange,deflator,iso3c,region,capital,longitude,latitude,income,lending
GT,Guatemala,1995,,2022-05-25,14655404433.2771,1424.68254256258,10286786,5.8103425,8.66781823897942,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,1996,,2022-05-25,15674835615.3139,1487.60765839974,10536942,6.0495125,8.90000450953323,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,1997,,2022-05-25,17790026221.6139,1649.00160206099,10788362,6.06526916666667,8.25733951685741,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,1998,,2022-05-25,19395491992.9939,1755.84958223191,11046215,6.39465333333333,9.50243518490798,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,1999,,2022-05-25,18318412251.3642,1619.51073552531,11311078,7.38561,5.04155798311092,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2000,,2022-05-25,19288827158.9035,1664.29895827045,11589761,7.76315916666667,6.83011466821127,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2001,,2022-05-25,18405203853.1036,1550.36036555447,11871565,7.8585925,-5.61014528351383,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2002,,2022-05-25,20444205991.025,1682.99450068936,12147518,7.821645,6.4691750654456,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2003,,2022-05-25,21576351798.9145,1737.87928692973,12415334,7.94084666666667,4.47123467160999,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2004,,2022-05-25,23577286226.6407,1859.098363351,12682108,7.94649583333333,6.02385881441585,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2005,,2022-05-25,26783543667.064,2068.50012859333,12948292,7.63394416666667,5.66843562624204,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2006,,2022-05-25,29744368110.9094,2251.08796275499,13213330,7.60263083333333,4.98133297071131,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2007,,2022-05-25,33567868322.6252,2490.74912665208,13477017,7.67330416666667,7.11535054335639,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2008,,2022-05-25,38503862830.6878,2802.46196190125,13739299,7.56002833333333,9.4074918223814,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2009,,2022-05-25,37125943564.9873,2651.81712283814,14000190,8.16155541666667,3.60017527305328,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2010,,2022-05-25,40676432028.5934,2852.54732650116,14259687,8.0577708333333309,5.13757298846622,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2011,,2022-05-25,46876114650.4996,3228.0457411296,14521515,7.78541833333333,6.89464340316468,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2012,,2022-05-25,49593961141.7484,3355.03691881272,14781942,7.83360541666667,3.37775084412593,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2013,,2022-05-25,52996540703.5943,3522.77370621475,15043981,7.85681375,3.35844634594847,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2014,,2022-05-25,57852399963.7878,3779.64233613025,15306316,7.73223333333333,2.86031160659735,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2015,,2022-05-25,62186186575.7433,3994.63691288475,15567419,7.654815,2.23162145989066,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2016,,2022-05-25,66053725049.0138,4173.30166619474,15827690,7.59993708333333,2.70719129663175,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2017,,2022-05-25,71654134378.5299,4454.04814983548,16087418,7.34793875,1.7479141087134,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2018,,2022-05-25,73208583758.9105,4478.42464550944,16346950,7.51916458333333,1.18961296201772,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2019,,2022-05-25,77020015201.3201,4638.63494319511,16604026,7.69669833333333,3.68060643662776,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
GT,Guatemala,2020,,2022-05-25,77604632170.5853,4603.33961670975,16858333,7.72165,2.64518808690271,GTM,Latin America & Caribbean,Guatemala City,-90.5328,14.6248,Upper middle income,IBRD
